node1,node2,dist
Karabanovo,Strunino,0.0013747606274509866
Leninsk-Kuznetsky,Polysayevo,0.0013753280591846562
Lermontov,Yessentukskaya,0.0013832759046064995
Novomoskovsk,Uzlovaya,0.0013903718148883446
Nizhnyaya Salda,Verkhnyaya Salda,0.0013988940098212616
Borisoglebsk,Gribanovskiy,0.0014020998057589894
Ivanovo,Kokhma,0.0014067316663862266
Armavir,Novokubansk,0.001407359975756279
Murom,Navashino,0.001409061951772948
Khimki,Vostochnoe Degunino,0.00142388721123881
Alagir,Ardon,0.0014582605474715345
Kochubeyevskoye,Nevinnomyssk,0.0014597591781349965
Krasnoobsk,Novosibirsk,0.001459852251743792
Troitsk,Vnukovo,0.0014740176427448758
Kantyshevo,Nazran’,0.0014777057075151775
Beslan,Kantyshevo,0.0014855539297684115
Krasnyy Sulin,Zverevo,0.0014960725063467364
Rostokino,Sviblovo,0.0015011258734496328
Nakhabino,Skhodnya,0.001508244296213467
Khot'kovo,Sofrino,0.0015098776678609245
Cherkessk,Ust’-Dzheguta,0.001536385558979252
Domodedovo,Vidnoye,0.0015405376416038961
Khimki,Lobnya,0.0015435585781067886
Shcherbinka,Vidnoye,0.0015467876033947185
Altuf’yevskiy,Mytishchi,0.0015519983923088974
Kurovskoye,Likino-Dulevo,0.0015738701645591016
Seversk,Tomsk,0.0015758172807455418
Sosnogorsk,Ukhta,0.0015789022049753506
Balashikha,Shchelkovo,0.0015793266291199842
Bogdanovich,Sukhoy Log,0.0015815304616053482
Aleksandrovsk,Kizel,0.0015841746173858627
Isakogorka,Novodvinsk,0.0015869248488280892
Verkhnyaya Pyshma,Yekaterinburg,0.0015878735663240578
Ishimbay,Salavat,0.0016222523468640796
Kolpino,Pushkin,0.0016261272719297574
Ivanovskoye,Odintsovo,0.0016394298460011552
Dzerzhinskiy,Vidnoye,0.0016428807593353867
Kabanovo,Uglich,0.0016507347942282464
Kasli,Ozersk,0.0016614985563675735
Pushkino,Sofrino,0.0016886635887842837
Karpinsk,Krasnotur’insk,0.0016901029508583352
Biryulëvo,Kubinka,0.0017013098211394306
Khot'kovo,Sergiyev Posad,0.001703609730301438
Maloyaroslavets,Obninsk,0.0017080203100614518
Kantyshevo,Vladikavkaz,0.0017374604175766873
Medvedovskaya,Timashëvsk,0.001744779926231837
Tsimlyansk,Volgodonsk,0.0017579495092206216
Karabulak,Ordzhonikidzevskaya,0.0017603288780070195
Kolpino,Otradnoye,0.0017616906861778353
Barnaul,Novoaltaysk,0.0017656612617783468
Kyshtym,Ozersk,0.0017831362045653656
Dyat’kovo,Fokino,0.0017874899838480644
Korkino,Yemanzhelinsk,0.0018039212963228105
Saint Petersburg,Shushary,0.0018086622267378704
Kukmor,Vyatskiye Polyany,0.001810480364352048
Elektrogorsk,Pavlovskiy Posad,0.0018116634138994907
Bryukhovetskaya,Timashëvsk,0.001826336385368476
Kaspiysk,Makhachkala,0.00183374039866702
Abinsk,Akhtyrskiy,0.001844268144291952
Abakan,Chernogorsk,0.0018515221437481128
Apatity,Kirovsk,0.0018575503091715546
Golitsyno,Zvenigorod,0.0018760520971987027
Fryazevo,Pavlovskiy Posad,0.0018975486865206441
Medvedovskaya,Novotitarovskaya,0.0019096955934865766
Novotroitsk,Orsk,0.0019283328884302832
Komendantsky aerodrom,Sertolovo,0.0019342060570633718
Kuybyshev,Novokuybyshevsk,0.001936036945549708
Polyarnyy,Severomorsk,0.0019372842340384141
Chernogolovka,Noginsk,0.001958367189179905
Krasnodar,Pashkovskiy,0.001961979139528995
Krasnyy Sulin,Novoshakhtinsk,0.001972798479649472
Ezhva,Syktyvkar,0.0019768238998074525
Chernyanka,Novyy Oskol,0.0019796752915392504
Semiluki,Voronezh,0.00199662301283866
Donskoy,Kimovsk,0.0020111667472177187
Afipskiy,Severskaya,0.002014830645475513
Strogino,Tuchkovo,0.002036436389578149
Malgobek,Mozdok,0.0020447227748925283
Mendeleyevsk,Naberezhnyye Chelny,0.002051300581366625
Protvino,Serpukhov,0.002054427427135787
Sosnovka,Vyatskiye Polyany,0.002055183069299973
Labinsk,Mostovskoy,0.002062398389416532
Davlekanovo,Rayevskiy,0.0020675097161327984
Belidzhi,Derbent,0.0020781267934799528
Gukovo,Krasnyy Sulin,0.002090360456937424
Setun’,Zvenigorod,0.002091524634011064
