,name,country,subcountry,geonameid,lat,lng
109,Uchkeken,Russia,Karachayevo-Cherkesiya,479687,43.939015000000005,42.515493
110,Uchaly,Russia,Bashkortostan,479703,54.319176,59.378631000000006
111,Uchaly,Russia,Bashkortostan,479704,54.319176,59.378631000000006
112,Tyrnyauz,Russia,Kabardino-Balkariya,479933,43.398084000000004,42.921423
113,Tver,Russia,Tverskaya,480060,56.859846999999995,35.911995000000005
114,Tuymazy,Russia,Bashkortostan,480089,54.599988,53.695007999999994
115,Tutayev,Russia,Jaroslavl,480122,57.8688,39.530759
116,Tula,Russia,Tula,480562,54.193121999999995,37.617348
117,Tuchkovo,Russia,MO,480685,55.614139,36.401146000000004
118,Tuapse,Russia,Krasnodarskiy,480716,44.09564,39.073553000000004
119,Tsimlyansk,Russia,Rostov,480876,47.647714,42.093059999999994
120,Trubchevsk,Russia,Brjansk,481350,52.579077000000005,33.766073
123,Troitsk,Russia,Moscow,481608,55.48484200000001,37.305561
124,Tosno,Russia,Leningrad,481964,59.540664,30.877719
125,Torzhok,Russia,Tverskaya,481985,57.041338,34.96014
126,Tomilino,Russia,MO,482260,55.663126,37.949931
128,Timashëvsk,Russia,Krasnodarskiy,482965,45.615877000000005,38.935069
129,Tikhvin,Russia,Leningrad,483019,59.644209,33.542096
130,Tikhoretsk,Russia,Krasnodarskiy,483029,45.85468,40.125929
131,Teykovo,Russia,Ivanovo,483137,56.85436,40.535471
132,Terek,Russia,Kabardino-Balkariya,483495,43.483865,44.140267
133,Tyoply Stan,Russia,Moscow,483551,54.103589,42.732858
134,Temryuk,Russia,Krasnodarskiy,483661,45.27841,37.370194
136,Tbilisskaya,Russia,Krasnodarskiy,483883,45.364528,40.201765
137,Tambov,Russia,Tambov,484646,52.721219,41.452273999999996
138,Agidel’,Russia,Bashkortostan,484856,55.899834999999996,53.92204
139,Taganrog,Russia,Rostov,484907,47.220983000000004,38.9173
140,Taganskiy,Russia,Moscow,484912,55.713460999999995,38.350714
141,Syzran’,Russia,Samara,484972,53.155781999999995,48.474484999999994
142,Syktyvkar,Russia,Komi Republic,485239,61.66879300000001,50.836399
143,Svobody,Russia,Stavropol'skiy,485432,44.024772999999996,43.051464
144,Sviblovo,Russia,Moscow,485630,56.345614000000005,38.370882
147,Svetlograd,Russia,Stavropol'skiy,485698,45.328573,42.856628
148,Suvorovskaya,Russia,Stavropol'skiy,485871,44.197528999999996,42.649962
149,Suvorov,Russia,Tula,485888,54.122082999999996,36.490339
150,Surovikino,Russia,Volgograd,486071,48.605493,42.844195
151,Surkhakhi,Russia,Ingushetiya,486110,43.184867,44.902846000000004
152,Sukhinichi,Russia,Kaluga,486665,54.101752000000005,35.339319
153,Stupino,Russia,MO,486968,54.886880000000005,38.07839
154,Strunino,Russia,Vladimir,487095,56.374930000000006,38.584078999999996
155,Stroitel’,Russia,Belgorod,487147,50.784551,36.488686
156,Strogino,Russia,Moscow,487150,55.784541000000004,36.381796
157,Sterlitamak,Russia,Bashkortostan,487495,53.630403,55.930825
158,Stavropol’,Russia,Stavropol'skiy,487846,45.044521,41.969083000000005
159,Staryy Oskol,Russia,Belgorod,487928,49.580332,37.651511
160,Staroshcherbinovskaya,Russia,Krasnodarskiy,488635,46.629713,38.667334999999994
161,Starominskaya,Russia,Krasnodarskiy,488742,46.533019,39.053628
162,Starodub,Russia,Brjansk,488852,52.585277000000005,32.760346000000006
163,Staraya Russa,Russia,Novgorod,489088,57.990715,31.355452000000003
164,Staraya Kupavna,Russia,MO,489162,55.810648,38.175624
166,Sovetsk,Russia,Kirov,490067,55.081029,21.888647
167,Sovetsk,Russia,Kaliningrad,490068,55.081029,21.888647
169,Sosnovaya Polyana,Russia,St.-Petersburg,490377,60.264715,30.497328000000003
170,Sosnogorsk,Russia,Komi Republic,490391,63.599109999999996,53.876441
171,Sortavala,Russia,Republic of Karelia,490466,61.703306000000005,30.691723
172,Sorochinsk,Russia,Orenburg,490554,52.429092000000004,53.151016000000006
173,Solntsevo,Russia,Moscow,490971,51.416339,36.755046
174,Solnechnogorsk,Russia,MO,490996,56.185102,36.977631
175,Sol’-Iletsk,Russia,Orenburg,491019,51.16185,54.980336
176,Solikamsk,Russia,Perm,491023,59.648332999999994,56.771029000000006
177,Sokol’niki,Russia,Moscow,491250,57.413878000000004,42.152896999999996
178,Sokol,Russia,Moscow,491280,59.46096800000001,40.099977
179,Sokol,Russia,Vologda,491281,59.46096800000001,40.099977
180,Sofrino,Russia,MO,491352,56.13150600000001,37.936393
181,Sochi,Russia,Krasnodarskiy,491422,43.585525,39.723062
182,Sobinka,Russia,Vladimir,491480,55.993837,40.017943
183,Smolensk,Russia,Smolensk,491687,54.782635,32.045251
184,Slobodskoy,Russia,Kirov,491882,58.731885999999996,50.183673999999996
186,Slavyansk-na-Kubani,Russia,Krasnodarskiy,492094,45.260325,38.12822
188,Skopin,Russia,Rjazan,492376,53.82359,39.549328
189,Skhodnya,Russia,MO,492448,55.954113,37.272197
190,Sim,Russia,Chelyabinsk,492944,54.990716000000006,57.689969
191,Sibay,Russia,Bashkortostan,493160,52.72051,58.666429
192,Shuya,Russia,Ivanovo,493231,56.852037,41.385556
193,Shushary,Russia,St.-Petersburg,493316,59.807219999999994,30.379514
194,Shumerlya,Russia,Chuvashia,493463,55.497933999999994,46.417846000000004
195,Mikhaylovsk,Russia,Stavropol'skiy,493702,45.129667,42.028803
197,Sheksna,Russia,Vologda,495062,58.04845400000001,38.858406
198,Shebekino,Russia,Belgorod,495112,50.404344,36.87931
199,Shchukino,Russia,Moscow,495136,57.623976,39.48349
200,Shchigry,Russia,Kursk,495206,51.87619,36.912
201,Shcherbinka,Russia,Moscow,495260,55.508738,37.563287
202,Shchelkovo,Russia,MO,495344,55.920875,37.991622
203,Shchëkino,Russia,Tula,495394,51.55301,34.491498
204,Shatura,Russia,MO,495518,55.561232,39.563521
206,Shali,Russia,Chechnya,495957,43.1488,45.900991
208,Shakhty,Russia,Rostov,496015,47.709601,40.215796999999995
209,Severskaya,Russia,Krasnodarskiy,496267,44.853759000000004,38.681940999999995
210,Severo-Zadonsk,Russia,Tula,496269,53.012954,139.26683400000002
211,Severoural’sk,Russia,Sverdlovsk,496275,49.193252,119.729249
212,Severomorsk,Russia,Murmansk,496278,69.070337,33.423958
213,Severodvinsk,Russia,Arkhangelskaya,496285,64.562501,39.818175
215,Setun’,Russia,Moscow,496456,55.64656899999999,36.668134
216,Sestroretsk,Russia,St.-Petersburg,496478,60.092411,29.956065999999996
217,Sertolovo,Russia,Leningrad,496519,60.141613,30.211878999999996
218,Serpukhov,Russia,MO,496527,54.913536,37.416763
219,Sergiyev Posad,Russia,MO,496638,56.315291,38.135999
220,Sergach,Russia,Nizjnij Novgorod,496802,55.52010500000001,45.481361
221,Serdobsk,Russia,Penza,496934,52.45568299999999,44.202735
222,Semiluki,Russia,Voronezj,497206,51.695254999999996,39.018953
223,Semikarakorsk,Russia,Rostov,497218,47.517792,40.811505
224,Semënovskoye,Russia,MO,497271,56.587927,37.753748
225,Semënov,Russia,Nizjnij Novgorod,497450,57.368065,43.900847999999996
227,Segezha,Russia,Republic of Karelia,497927,63.743701,34.312616999999996
228,Satka,Russia,Chelyabinsk,498418,55.04049200000001,59.028881000000005
229,Sarov,Russia,Nizjnij Novgorod,498525,54.922788,43.344844
230,Saratov,Russia,Saratov,498677,51.533103000000004,46.034158000000005
231,Sarapul,Russia,Udmurtiya,498687,56.461620999999994,53.803678000000005
232,Saransk,Russia,Mordoviya,498698,54.187433,45.183938
233,Saraktash,Russia,Orenburg,498708,51.7831,56.36526
234,Saint Petersburg,Russia,St.-Petersburg,498817,59.939094999999995,30.315868
235,Samara,Russia,Samara,499099,53.195538,50.101783000000005
237,Salavat,Russia,Bashkortostan,499292,53.361651,55.924671999999994
238,Safonovo,Russia,Smolensk,499452,55.106304,33.237916999999996
239,Rzhev,Russia,Tverskaya,499717,56.262877,34.329065
240,Rybnoye,Russia,Rjazan,499975,54.73080600000001,39.505463
241,Rybinsk,Russia,Jaroslavl,500004,58.04845400000001,38.858406
242,Rybatskoye,Russia,Leningrad,500019,47.008409,37.452219
243,Ryazhsk,Russia,Rjazan,500047,53.708949,40.062894
244,Ryazan’,Russia,Rjazan,500096,54.62921600000001,39.736375
245,Ruzayevka,Russia,Mordoviya,500299,54.058268000000005,44.94911
246,Rublëvo,Russia,Moscow,500843,58.490088,49.437488
247,Rtishchevo,Russia,Saratov,500886,52.257455,43.785657
248,Rostov-na-Donu,Russia,Rostov,501175,47.222078,39.720349
249,Rostov,Russia,Jaroslavl,501183,47.222078,39.720349
250,Rostokino,Russia,Moscow,501187,56.386159,38.517666
251,Rossosh’,Russia,Voronezj,501215,50.192899,39.57652
252,Rossosh’,Russia,Voronezj,501231,50.192899,39.57652
253,Roslavl’,Russia,Smolensk,501283,53.947309,32.85678
254,Roshal’,Russia,MO,501320,55.66328299999999,39.862759000000004
255,Rodniki,Russia,Ivanovo,501730,57.107152,41.733366
256,Revda,Russia,Sverdlovsk,502011,56.800079000000004,59.90871800000001
257,Reutov,Russia,MO,502018,55.760515000000005,37.855140999999996
258,Razumnoye,Russia,Belgorod,502400,50.533631,36.689559
259,Rayevskiy,Russia,Bashkortostan,502540,54.064974,54.932905000000005
260,Rasskazovo,Russia,Tambov,502793,52.653842000000004,41.874302
261,Ramenki,Russia,Moscow,502971,54.81600600000001,39.597064
262,Pyatigorsk,Russia,Stavropol'skiy,503550,44.03929,43.070840000000004
263,Pushkino,Russia,MO,503977,56.011182,37.847046999999996
264,Pushkin,Russia,St.-Petersburg,504003,59.722463,30.416946999999997
265,Pushchino,Russia,MO,504042,54.832479000000006,37.620977
266,Pugachev,Russia,Saratov,504250,52.014871,48.795588
268,Protvino,Russia,MO,504576,54.87062099999999,37.218315999999994
269,Proletarsk,Russia,Rostov,504831,46.703849,41.727544
270,Prokhladnyy,Russia,Kabardino-Balkariya,504935,43.758962,44.010083
271,Priyutovo,Russia,Bashkortostan,505014,53.895217,53.936889
272,Privolzhskiy,Russia,Saratov,505057,51.410957,46.048082
273,Privolzhsk,Russia,Ivanovo,505060,57.380662,41.28083
274,Priozërsk,Russia,Leningrad,505230,61.036554,30.119838
275,Primorsko-Akhtarsk,Russia,Krasnodarskiy,505259,46.043502000000004,38.177645
277,Povorino,Russia,Voronezj,505806,51.190773,42.245576
278,Kotlovka,Russia,Moscow,506043,54.680478,50.636919
279,Annino,Russia,Moscow,506117,52.646423,33.859443
280,Polyarnyye Zori,Russia,Murmansk,506762,67.365788,32.500966
281,Polyarnyy,Russia,Murmansk,506763,69.197402,33.437226
283,Pokrov,Russia,Vladimir,507599,55.916633,39.173374
284,Pokhvistnevo,Russia,Samara,507624,53.653282,52.122346
286,Podol’sk,Russia,MO,508101,54.510741,30.429585999999997
287,Pochep,Russia,Brjansk,508656,52.92913000000001,33.454267
288,Ryazanskiy,Russia,Moscow,508751,54.62921600000001,39.736375
289,Plavsk,Russia,Tula,509052,53.706843000000006,37.291987
290,Pikalëvo,Russia,Leningrad,509598,59.513113,34.177303
291,Petushki,Russia,Vladimir,509697,55.930967,39.4599
292,Petrozavodsk,Russia,Republic of Karelia,509820,61.785017,34.346878000000004
293,Petrovskaya,Russia,MO,509981,45.430202,37.960765
294,Petrovsk,Russia,Saratov,509987,52.314023,45.389931
295,Petrodvorets,Russia,St.-Petersburg,510225,59.884027,29.908571999999996
296,Peterhof,Russia,St.-Petersburg,510291,59.884027,29.908571999999996
297,Pestovo,Russia,Novgorod,510364,58.599070999999995,35.798097999999996
298,Pervoural’sk,Russia,Sverdlovsk,510808,56.905839,59.943249
300,Perm,Russia,Perm,511196,58.010374,56.229397999999996
301,Pereslavl’-Zalesskiy,Russia,Jaroslavl,511359,56.739613,38.85298
303,Penza,Russia,Penza,511565,53.195063,45.018316
304,Pechora,Russia,Komi Republic,511794,65.148602,57.223977000000005
305,Pavlovskiy Posad,Russia,MO,512023,55.779393000000006,38.651317999999996
306,Pavlovskaya,Russia,Krasnodarskiy,512051,46.130536,39.790965
307,Pavlovsk,Russia,St.-Petersburg,512052,59.686411,30.431597999999997
308,Pavlovsk,Russia,Voronezj,512053,59.686411,30.431597999999997
309,Pashkovskiy,Russia,Krasnodarskiy,512382,45.013944,39.133641
310,Pallasovka,Russia,Volgograd,513042,50.050167,46.880398
311,Ozëry,Russia,MO,513378,54.854087,38.559824
312,Ozerki,Russia,St.-Petersburg,513471,56.583475,95.932643
313,Otradnyy,Russia,Samara,513883,53.376555,51.348851
314,Otradnoye,Russia,Moscow,513896,59.774086,30.794544000000002
315,Otradnoye,Russia,Leningrad,513898,59.774086,30.794544000000002
316,Otradnaya,Russia,Krasnodarskiy,513911,44.39317,41.515614
318,Ostrogozhsk,Russia,Voronezj,514198,50.860139000000004,39.082365
319,Ostashkov,Russia,Tverskaya,514259,57.142872,33.115441
321,Osa,Russia,Perm,514706,57.279672,55.468723
322,Orsk,Russia,Orenburg,514734,51.229362,58.475196
323,Orlovskiy,Russia,Rostov,514796,46.872887,42.053022
324,Orenburg,Russia,Orenburg,515003,51.768198999999996,55.096955
325,Orël,Russia,Orjol,515012,52.97037099999999,36.063837
326,Orekhovo-Zuyevo,Russia,MO,515024,55.805837,38.981592
328,Ordzhonikidzevskaya,Russia,Ingushetiya,515083,43.320353000000004,45.047682
329,Onega,Russia,Arkhangelskaya,515246,63.914485,38.086646
330,Omutninsk,Russia,Kirov,515267,58.66406,52.177152
331,Olenegorsk,Russia,Murmansk,515698,68.140457,33.270095
332,Tsotsin-Yurt,Russia,Chechnya,515804,49.193252,119.729249
333,Oktyabr’skiy,Russia,Bashkortostan,515879,45.001435,38.931421
334,Odintsovo,Russia,MO,516215,55.678858999999996,37.263985999999996
337,Obninsk,Russia,Kaluga,516436,55.11201,36.586531
338,Nytva,Russia,Perm,516576,57.939127,55.328621999999996
339,Nyandoma,Russia,Arkhangelskaya,516647,61.669821999999996,40.204388
340,Nurlat,Russia,Tatarstan,516716,54.42811700000001,50.804958
341,Novyy Oskol,Russia,Belgorod,516931,50.760542,37.864816
344,Novozybkov,Russia,Brjansk,517269,52.536717,31.933221999999997
345,Novovoronezh,Russia,Voronezj,517716,51.309213,39.216277000000005
346,Novouzensk,Russia,Saratov,517739,50.466326,48.132119
347,Novoul’yanovsk,Russia,Ulyanovsk,517766,49.193252,119.729249
348,Novotroitsk,Russia,Orenburg,517836,51.196417,58.301767000000005
349,Novotitarovskaya,Russia,Krasnodarskiy,517842,45.237665,38.976544
350,Novoshakhtinsk,Russia,Rostov,517963,47.754315000000005,39.934696
351,Novorossiysk,Russia,Krasnodarskiy,518255,44.723912,37.768974
352,Novopokrovskaya,Russia,Krasnodarskiy,518325,45.953825,40.707004
353,Novopavlovsk,Russia,Stavropol'skiy,518383,43.957369,43.631901
354,Novomoskovsk,Russia,Tula,518557,54.010993000000006,38.290896000000004
355,Novomichurinsk,Russia,Rjazan,518602,54.034574,39.750865000000005
357,Novokuybyshevsk,Russia,Samara,518659,53.09946899999999,49.947767
358,Novokubansk,Russia,Krasnodarskiy,518682,45.103792999999996,41.043927000000004
360,Novogireyevo,Russia,MO,518879,56.557821999999994,37.532466
361,Novodvinsk,Russia,Arkhangelskaya,518909,64.41368299999999,40.820821
362,Novocherkassk,Russia,Rostov,518970,47.422052,40.093725
363,Novocheboksarsk,Russia,Chuvashia,518976,56.109551,47.479125
364,Novoanninskiy,Russia,Volgograd,519062,50.529658000000005,42.66667
366,Velikiy Novgorod,Russia,Novgorod,519336,58.52281,31.269915
367,Novaya Usman’,Russia,Voronezj,519447,51.643972,39.412864
369,Noginsk,Russia,MO,520068,55.854521999999996,38.441831
370,Nizhnyaya Tura,Russia,Sverdlovsk,520204,58.63108199999999,59.852340000000005
371,Nizhniy Tagil,Russia,Sverdlovsk,520494,57.907605000000004,59.972211
372,Nizhniy Novgorod,Russia,Nizjnij Novgorod,520555,56.326887,44.005986
373,Nizhniy Lomov,Russia,Penza,520574,53.530043000000006,43.672990000000006
374,Nizhnekamsk,Russia,Tatarstan,521118,55.634069999999994,51.809112
375,Nikulino,Russia,Moscow,521416,56.112367000000006,38.071446
379,Nikolayevsk,Russia,Volgograd,521874,53.21448,63.632073
380,Nikel’,Russia,Murmansk,522260,69.410035,30.210065000000004
381,Nezlobnaya,Russia,Stavropol'skiy,522301,44.116845,43.408516999999996
382,Nevinnomyssk,Russia,Stavropol'skiy,522377,44.638287,41.936060999999995
383,Nevel’,Russia,Pskov,522410,56.017483,29.917240999999997
384,Nesterovskaya,Russia,Ingushetiya,522470,61.79982,40.844941
385,Nerekhta,Russia,Kostroma,522594,57.454414,40.572446
386,Nelidovo,Russia,Tverskaya,522775,56.223296,32.776587
387,Neftekamsk,Russia,Bashkortostan,522942,56.088407999999994,54.248236
388,Neftegorsk,Russia,Samara,522945,52.79722099999999,51.163799
389,Nazran’,Russia,Ingushetiya,523064,43.225727,44.764641
390,Navashino,Russia,Nizjnij Novgorod,523198,55.543888,42.18874
391,Nar'yan-Mar,Russia,Nenetskiy Avtonomnyy Okrug,523392,67.63805,53.006926
392,Nartkala,Russia,Kabardino-Balkariya,523405,43.556734000000006,43.862021999999996
393,Naro-Fominsk,Russia,MO,523426,55.386185,36.734484
394,Nal’chik,Russia,Kabardino-Balkariya,523523,43.499725,43.6032
395,Nakhabino,Russia,MO,523553,55.848751,37.187782
396,Naberezhnyye Chelny,Russia,Tatarstan,523750,55.740776000000004,52.406384
397,Mytishchi,Russia,MO,523812,55.910483,37.736402000000005
398,Murom,Russia,Vladimir,524294,55.57916899999999,42.052411
399,Murmansk,Russia,Murmansk,524305,68.970682,33.074981
400,Mtsensk,Russia,Orjol,524640,53.278939,36.575006
401,Mozhga,Russia,Udmurtiya,524699,56.442802,52.213839
402,Mozhaysk,Russia,MO,524712,55.506714,36.017358
403,Mozdok,Russia,North Ossetia,524736,43.735413,44.653878000000006
404,Mostovskoy,Russia,Krasnodarskiy,524809,44.414357,40.790278
405,Moscow,Russia,Moscow,524901,55.755814,37.617635
406,Morshansk,Russia,Tambov,525138,53.443611,41.811627
407,Morozovsk,Russia,Rostov,525162,48.351157,41.830878000000006
408,Monino,Russia,MO,525396,55.839289,38.195342
409,Monchegorsk,Russia,Murmansk,525404,67.938917,32.937062
411,Mineralnye Vody,Russia,Stavropol'skiy,526480,44.208799,43.13834
412,Millerovo,Russia,Rostov,526558,48.92173,40.394849
413,Mikhaylovka,Russia,Volgograd,527012,50.070847,43.239723
414,Mikhalkovo,Russia,Moscow,527057,54.320283999999994,21.300583
415,Michurinsk,Russia,Tambov,527191,52.893913,40.498011
416,Metallostroy,Russia,St.-Petersburg,527361,59.807803,30.573514000000003
417,Menzelinsk,Russia,Tatarstan,527529,55.719972,53.101429
418,Mendeleyevsk,Russia,Tatarstan,527579,55.895185999999995,52.314397
419,Meleuz,Russia,Bashkortostan,527717,52.958964,55.928309999999996
420,Melenki,Russia,Vladimir,527740,55.338715,41.634029999999996
421,Medvezh’yegorsk,Russia,Republic of Karelia,527888,49.193252,119.729249
422,Medvedovskaya,Russia,Krasnodarskiy,527968,45.449212,39.010123
423,Medvedevo,Russia,Mariy-El,528056,54.20229200000001,31.123427000000003
424,Mednogorsk,Russia,Orenburg,528109,51.403794,57.58324
425,Maykop,Russia,Adygeya,528293,44.608865,40.098548
426,Matveyevskoye,Russia,Moscow,528454,56.525966000000004,35.760386
427,Marks,Russia,Saratov,529073,51.713333,46.740009
429,Mar’ina Roshcha,Russia,Moscow,529334,55.79693100000001,37.614374
430,Manturovo,Russia,Kostroma,529505,58.328617,44.757292
431,Yaroslavskiy,Russia,Moscow,530088,44.185359000000005,132.22500300000002
432,Maloyaroslavets,Russia,Kaluga,530849,55.011897,36.462555
433,Malgobek,Russia,Ingushetiya,531129,43.509645,44.590188
434,Malakhovka,Russia,MO,531820,55.64258,38.009373
435,Makhachkala,Russia,Dagestan,532096,42.983059999999995,47.504682
436,Magnitogorsk,Russia,Chelyabinsk,532288,53.407157999999995,58.980281999999995
437,Lyudinovo,Russia,Kaluga,532459,53.864532999999994,34.447722999999996
438,Lyublino,Russia,Moscow,532535,46.915185,141.99549299999998
439,Lyubertsy,Russia,MO,532615,55.67649399999999,37.898115999999995
440,Lytkarino,Russia,MO,532657,55.579297,37.908986
441,Lys’va,Russia,Perm,532675,58.100413,57.811655
442,Lyskovo,Russia,Nizjnij Novgorod,532715,56.021356999999995,45.040962
443,Luzhniki,Russia,Moscow,533067,54.84486999999999,38.117009
444,Lukhovitsy,Russia,MO,533543,54.965217,39.025394
446,Losino-Petrovskiy,Russia,MO,534015,55.87218299999999,38.200983
