name,Angarsk,Armavir,Astrakhan,Balakovo,Balashikha,Barnaul,Belgorod,Biysk,Blagoveshchensk,Bratsk,Bryansk,Cheboksary,Chelyabinsk,Cherepovets,Chita,Dzerzhinsk,Irkutsk,Ivanovo,Izhevsk,Kaliningrad,Kaluga,Kazan,Kemerovo,Khabarovsk,Khimki,Kirov,Komsomolsk-on-Amur,Kostroma,Krasnodar,Krasnoyarsk,Kurgan,Kursk,Lipetsk,Lyubertsy,Magnitogorsk,Makhachkala,Moscow,Murmansk,Mytishchi,Nizhnekamsk,Nizhnevartovsk,Novokuznetsk,Novorossiysk,Novosibirsk,Omsk,Orenburg,Orsk,Penza,Perm,Petrozavodsk,Saint Petersburg,Samara,Saransk,Saratov,Shakhty,Smolensk,Sochi,Sterlitamak,Surgut,Syktyvkar,Taganrog,Tambov,Tomsk,Tula,Tver,Tyumen,Ufa,Ulan-Ude,Ulyanovsk,Vladikavkaz,Vladimir,Vladivostok,Volgograd,Vologda,Voronezh,Yakutsk,Yaroslavl,Yekaterinburg,Yoshkar-Ola,Yuzhno-Sakhalinsk
Angarsk,1.0,-1.0,-1.0,-1.0,-1.0,0.2116976307847452,-1.0,0.1976661530215452,0.25486375265907474,0.046507004511735145,-1.0,-1.0,0.4360132094332353,-1.0,0.10246156998772928,-1.0,0.005037172010652792,-1.0,0.5099200126951039,-1.0,-1.0,0.5527916202344302,0.1872524216093062,0.3402404438357917,-1.0,0.5365538602500599,0.3541017382089736,-1.0,-1.0,0.12096310898315707,0.3962644892229589,-1.0,-1.0,-1.0,0.4657455900384728,-1.0,-1.0,-1.0,-1.0,0.5277393411043374,0.28785559489260826,0.17634185464944188,-1.0,0.21943057921756792,0.3166405254490767,0.510949814387544,0.4788908058849135,-1.0,0.4777254964951044,-1.0,-1.0,0.5544581148495609,-1.0,-1.0,-1.0,-1.0,-1.0,0.4952886386324367,0.316886920132024,0.5165409328748358,-1.0,-1.0,0.19978976665140305,-1.0,-1.0,0.39082331928348063,0.4909363717651708,0.04017084972688397,0.5659644676489464,-1.0,-1.0,0.32461020321580114,-1.0,-1.0,-1.0,0.27860591842620064,-1.0,0.439291117861955,0.5607642636013352,0.4464213270350458
Armavir,0.6854050280895263,1.0,0.08554192619774298,0.107854534257208,0.12700885288684632,0.4706958458386381,0.07824979550062959,0.4901202906749913,-1.0,-1.0,0.1187386069511352,0.14486258278695865,0.2373300529441169,0.17384042005713848,-1.0,0.1304515333916964,-1.0,0.1384524127080424,0.19460238518064826,0.2630066300653415,0.11876865166090593,0.1527523035021559,0.4844795926156169,-1.0,0.13004757189553404,0.18879036737121546,-1.0,0.1496252402081243,0.026585301178044484,0.5482930310882211,0.27601739155763866,0.09092761201132826,0.08193082423513606,0.12557920269435785,0.2285570680910435,0.08106619946597236,0.12761840042706835,0.3509753685364487,0.12920421246577227,0.17205739304878398,0.3789133276517608,0.5035806079820243,0.04159096485971021,0.4539391563924288,0.3569214398238296,0.18034863509235752,0.21650462674888146,0.0985596739226574,0.2302000919610324,0.2251336742962532,0.21911773695361286,0.13725810569208022,0.11065769660779053,0.08895214063107464,0.027695931641583186,0.15127300174377314,0.02111575336456506,0.1972927510849636,0.35193435700805337,0.2360255983739344,0.0339463412994786,0.08136669668173034,0.4678722356327553,0.10813959610681194,0.1490696813639636,0.2788628231519429,0.203612541665542,-1.0,0.13263465277441247,0.047137881966265734,0.12637799109020867,-1.0,0.05432404475127795,0.17205246879266614,0.0722230052700021,-1.0,0.1482064102828971,0.23303496362073406,0.1542978698042786,-1.0
Astrakhan,0.6074770370350628,0.08554192619774298,1.0,0.059286794157617416,0.15696199006403544,0.3928795013418795,0.14141643631876674,0.4114253579525369,-1.0,0.558810763800041,0.1746596806880938,0.11214260533115852,0.1662836550808836,0.19088912298976984,-1.0,0.1243808218716426,-1.0,0.14704182265120622,0.13486327132758386,0.32698812765082963,0.16237734832391185,0.1077231498891593,0.4090029157913849,-1.0,0.16199535571417542,0.14795718815007994,-1.0,0.15636968865380682,0.11035950344123588,0.4735651090895208,0.20353628559794645,0.1492738845900702,0.11839922455589505,0.1562765161023059,0.1476980479045618,0.028916330151444233,0.15930296277452347,0.3542164054182146,0.15961753823549807,0.11332357204593685,0.3133190555241189,0.4262291992081291,0.12533615696927689,0.3781416434391409,0.2817639846878505,0.09998113296094888,0.13232015893339136,0.08130479688227117,0.16571375251957474,0.24523608785800444,0.25588883568358833,0.07722717049572117,0.0919168359665793,0.05847770585589871,0.09439803166346404,0.2054747518502088,0.10405036390291546,0.12058244745156466,0.2880990528835641,0.19671718557389686,0.1096040965533667,0.10212112995746812,0.3938709714808301,0.14747820134079878,0.18296304201558275,0.2099286255858936,0.12998167752897746,-1.0,0.08758398810348411,0.04958226858620927,0.14119578344513553,-1.0,0.04768726648702195,0.18013792933498254,0.11711314254197072,-1.0,0.16093262025389715,0.16696401956092954,0.11850300966566682,-1.0
Balakovo,0.5822207050968004,0.107854534257208,0.059286794157617416,1.0,0.11209288748475396,0.3747395265405396,0.12261256496189896,0.3940396135688493,-1.0,0.5308511767934461,0.1437058275871936,0.048891013654734534,0.14293481751029938,0.13354570225764753,-1.0,0.06725279557563038,-1.0,0.0923989064662458,0.08010730250827308,0.28736228947377684,0.12502621213626586,0.046130522690633335,0.3872332258208299,-1.0,0.11733440433357507,0.08313636500042912,-1.0,0.0992269381816347,0.11848969444439952,0.4489472429543145,0.18186019647519144,0.12503963172820046,0.08811952312237993,0.11199346300220378,0.11957213588344225,0.08009047910004281,0.11500768740554156,0.27761196904061197,0.11449598373993035,0.05924828705268385,0.28372552982863936,0.4064295313752688,0.13137472282394286,0.3576275348783215,0.2625943734672399,0.0783139376181607,0.11527601186167752,0.032571094075610645,0.11275406678397815,0.1832667847790132,0.2015893437379054,0.027597681717751992,0.03714388104277221,0.01993449939091072,0.09411752720345287,0.16863739372306408,0.11876080910289954,0.08794129836751327,0.25739437232735346,0.12857365170560175,0.10912380497354876,0.06846872127941052,0.37073375419503024,0.11053884864915764,0.135845736207631,0.18405218402734966,0.0911025705152747,-1.0,0.02678020865443054,0.08731410613422705,0.0910000155188394,-1.0,0.049339433448046574,0.12016613104945688,0.09283469848047586,-1.0,0.1058834194569142,0.13791147901246767,0.05473578149333758,-1.0
Balashikha,0.6564732377232921,0.12700885288684632,0.15696199006403544,0.11209288748475396,1.0,0.4603937794198733,0.057978203323682836,0.4809384718300336,-1.0,-1.0,0.04614132399506424,0.09111480136152686,0.2316885992692287,0.04204554033486108,-1.0,0.054225811242683136,-1.0,0.032914360941107994,0.14861037789352555,0.17264882756910171,0.0223716830208804,0.10947736404942547,0.4662002975317887,-1.0,0.0050992620920486,0.1173318963341408,-1.0,0.03771442266654354,0.10430079212108702,0.5224984528411811,0.2687238810639469,0.048364776375221,0.039592841903772616,0.001480952420995753,0.21160733795291733,0.15627910892440758,0.003183135954143078,0.19662593873979728,0.0024034047992514715,0.13606951687779825,0.347221081077811,0.4890609727719642,0.10600334712548762,0.4391271766875632,0.3485825279776167,0.17914383461199085,0.21421790774695074,0.07687950429378161,0.1774033838903961,0.08566889676314476,0.08926764448641178,0.12533895912955806,0.07440880790021813,0.09464815998330786,0.08590664451043124,0.05950291148007529,0.11551289881617305,0.18099544830004247,0.31932469627512616,0.14188122337778358,0.08725813141475679,0.049533788319767166,0.4470797991378144,0.01886397915444732,0.02355843810204197,0.2632978780674898,0.17836226079283046,-1.0,0.1052964626931533,0.13810204008044105,0.02447397597794759,-1.0,0.10048039685047863,0.04715187632314327,0.04747857273439692,-1.0,0.029408373931530517,0.21778589129757686,0.0973152834647106,-1.0
Barnaul,0.2116976307847452,0.4706958458386381,0.3928795013418795,0.3747395265405396,0.4603937794198733,1.0,0.493861002498774,0.017508868764736986,0.4603320637950388,0.18017391063652985,0.5047945256675875,0.36907061396430335,0.2297806334592673,0.4508649262234073,0.3141595665833401,0.40573740733448027,0.21680201300186536,0.4276328461494161,0.3096940480880337,-1.0,0.4812194691504386,0.35158006924125,0.033333764098572964,0.5649594921262671,0.4649561185129893,0.3420834023211805,0.566002111908639,0.4260887559166707,0.4931181776991586,0.09769647483040347,0.18993994598601374,0.4930412958725797,0.4555838393182136,0.4611865535730909,0.2569343079438817,0.4113836544144164,0.4636133917209188,0.4816325231750472,0.4619462779524561,0.3252000471245985,0.1202497086950204,0.03519575475948065,0.5070856031792762,0.02142346868504396,0.10864169771344087,0.3008400993411681,0.2673510279287141,0.3992962487339795,0.279804618555338,0.4764051285520252,0.5168832832834436,0.3479997418204867,0.3945641378339525,0.3945519131354592,0.4689461088471098,0.5207826948005593,0.4913986254508797,0.287659674493117,0.14337038385242654,0.33201588232121937,0.4844179049312749,0.4366583394241571,0.039243068701041925,0.469212233151929,0.4760978236994803,0.18925932557812666,0.28525727604860696,0.25338074577742753,0.3620854775394676,0.4411964977670688,0.4355679724531312,-1.0,0.420491868244816,0.4323808052115751,0.4632360645762787,0.4179439835613685,0.4361976134217736,0.2372476934101956,0.3618835225532042,-1.0
Belgorod,0.6988238397231054,0.07824979550062959,0.14141643631876674,0.12261256496189896,0.057978203323682836,0.493861002498774,1.0,0.5141661445320299,-1.0,-1.0,0.03789932364116458,0.1305597462825161,0.2597771807768974,0.10601162838295193,-1.0,0.09842849417793853,-1.0,0.08896107857682589,0.19030510928082192,0.17890292778752773,0.04441401702629405,0.1464289268965379,0.502850461353781,-1.0,0.0620972820781612,0.16748915367490036,-1.0,0.09754647763468104,0.05790206232893045,0.5625039433763876,0.2983971715660765,0.012866621695476857,0.03953650273043211,0.06038387703046321,0.2443731065900864,0.14257076994417345,0.060750460813697386,0.2669176127942981,0.06292567259589436,0.17245423920578234,0.3876708152356986,0.5244768576023194,0.05519744955188895,0.4741624518952125,0.3799771778146506,0.20334371683332467,0.2407028761381326,0.09609219767437437,0.22360562471743972,0.14625955617220499,0.13345615516195405,0.14966912127505105,0.10123483674559812,0.10443439852075276,0.04968614997906352,0.06818922468754685,0.07187450223676563,0.21195976314673892,0.35980505992059525,0.20228599804596384,0.041926472252015165,0.05796325771165992,0.4845038285758103,0.041897946786036255,0.07442027733170094,0.2963662752839433,0.21305436973966768,-1.0,0.13413077278353588,0.11458108171270337,0.07626572661035999,-1.0,0.09081922312617756,0.11187854112854144,0.03090996439829028,-1.0,0.09122077004950004,0.24969733153429804,0.13913510962668407,-1.0
Biysk,0.1976661530215452,0.4901202906749913,0.4114253579525369,0.3940396135688493,0.4809384718300336,0.017508868764736986,0.5141661445320299,1.0,0.4506734578236999,0.16910252151025354,0.525453396575179,0.38896042736526615,0.24838373248287365,0.4715947332186786,0.30072011554400746,0.4259180958019717,0.2026272088189967,0.4480517244867591,0.3292408291514474,-1.0,0.5018048272522669,0.3712838987350988,0.03394599353610489,0.5525027823295182,0.4855426934846071,0.3620751243836918,0.554574260480953,0.4465649048782765,0.5128317943839007,0.08882120492981198,0.20833606127279866,0.5134552646906894,0.475753967338344,0.4817261517815544,0.27530612856709674,0.4297032913313363,0.4841782266257342,0.502145413248133,0.4825127247608084,0.34466747927047503,0.1373235064662209,0.024439337099779527,0.5269418073549834,0.03738600584598235,0.12647416558569408,0.3192730535499904,0.28522515965571,0.4190250959981633,0.29931939387999856,0.4973630089970049,0.5380244891783839,0.36723809191945617,0.4143930244589872,0.4139789011819853,0.4886637644820098,0.541688834222224,0.5109483367007323,0.3063949605204833,0.16139652532270596,0.35213644517092224,0.5042582101771887,0.456669172120517,0.046893389243422914,0.4896712720361288,0.4968418713977437,0.20809356701604714,0.3042192187617499,0.23923747118808825,0.3816473788508533,0.459982660679403,0.4559602981282508,0.565627938786206,0.4397721228878009,0.4530023612544411,0.4833662585102683,0.4110040494452651,0.4567303846840902,0.2562934396679448,0.3817827902147951,-1.0
Blagoveshchensk,0.25486375265907474,0.97322175551436,0.889146683190805,0.8230094954399013,0.8617504538021552,0.4603320637950388,0.9417071445171508,0.4506734578236999,1.0,0.2699167678462711,-1.0,-1.0,-1.0,-1.0,0.15325641583144806,-1.0,0.2514315927413603,-1.0,-1.0,-1.0,-1.0,-1.0,0.42556905000746936,0.08829941836549561,-1.0,-1.0,0.10527593772559007,-1.0,-1.0,0.35620401561925324,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4837405768083534,0.4237657019922477,-1.0,0.4585814211347344,0.551990669569674,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5089575459266685,-1.0,-1.0,-1.0,0.43078784082483396,-1.0,-1.0,-1.0,-1.0,0.21725963698053832,-1.0,-1.0,-1.0,0.08868632531222605,-1.0,-1.0,-1.0,0.1342155930536699,-1.0,-1.0,-1.0,0.18082004152882133
Bratsk,0.046507004511735145,0.6331630429901338,0.558810763800041,0.5308511767934461,0.5987472178481892,0.18017391063652985,0.6425554568554375,0.16910252151025354,0.2699167678462711,1.0,-1.0,0.5147496499659782,0.3892119304898031,-1.0,0.12773394627781628,0.5479222971669169,0.05083913519519805,0.5654904613948104,0.4579352791163833,-1.0,-1.0,0.4997804826390883,0.15217091242105407,0.3513483116003849,-1.0,0.4818391304868065,0.3614107522787518,0.5616550341930937,-1.0,0.08543623775680624,0.3510967042572297,-1.0,-1.0,-1.0,0.4192518001898074,-1.0,-1.0,0.5654857328304886,-1.0,0.4760425508677548,0.2389418891390442,0.14622143200827714,-1.0,0.18364810984403315,0.27604473440746763,0.4635695784044656,0.4337904611319461,0.5504235736402455,0.42604470038666825,-1.0,-1.0,0.5035601591091566,0.5435469029661506,0.5500764920690748,-1.0,-1.0,-1.0,0.4470339656180734,0.2669500139443425,0.4599378423148378,-1.0,-1.0,0.16138033223252893,-1.0,-1.0,0.3438290035580669,0.441850388886313,0.07676847921496187,0.5135677725536203,-1.0,-1.0,0.3429872638049878,-1.0,0.5624928430843961,-1.0,0.2664300208208917,-1.0,0.3905098738199505,0.5066837288689879,0.4666689972808392
