node1,node2,dist
Akademgorodok,Dal'negorsk,0.0
Akademgorodok,Dal’nerechensk,0.0
Danilov,Tutayev,0.0071652681324775765
Dankov,Lebedyan’,0.0025178838755474642
Davlekanovo,Rayevskiy,0.0020675097161327984
Dedovsk,Nakhabino,0.0006710150097672681
Degtyarsk,Revda,0.0021077859677281967
Desnogorsk,Roslavl’,0.004996484372874111
Dinskaya,Pashkovskiy,0.002102258947428194
Divnogorsk,Krasnoyarsk,0.004656948110339668
Divnoye,Ipatovo,0.005528684556933125
Dmitrov,Novogireyevo,0.002598640256312891
Dobryanka,Perm,0.005979025324209651
Akademgorodok,Dolgoprudnyy,0.0
Domodedovo,Vostryakovo,0.0009370997039215466
Donetsk,Rybatskoye,0.010339745112830924
Donskoy,Novomoskovsk,0.0006846329545270168
Donskoye,Mikhaylovsk,0.0029314427434915954
Dubna,Kimry,0.0023550987750363397
Dubovka,Volzhskiy,0.002798525150646921
Dudinka,Norilsk,0.012446891239613449
Dyat’kovo,Fokino,0.0017874899838480644
Dzerzhinsk,Novaya Balakhna,0.003489860592017327
Dzerzhinskiy,Kotel’niki,0.0003689595382357193
Ekazhevo,Nazran’,0.0007068605036515611
Elektrogorsk,Pavlovskiy Posad,0.0018116634138994907
Elektrostal’,Fryazevo,0.0007053813490059317
Elektrougli,Zyuzino,0.0010723397471176586
Arzgir,Elista,0.008504473526282906
Enem,Oktyabr’skiy,0.0007025963005559828
Engel’s,Saratov,0.0011043821507863
Ezhva,Syktyvkar,0.0019768238998074525
Frolovo,Mikhaylovka,0.005567251322750752
Fryazino,Shchelkovo,0.0007410580245754183
Furmanov,Privolzhsk,0.002285267191196377
Gagarin,Shatura,0.00035283583881536116
Galich,Kineshma,0.01181528595640251
Gatchina,Krasnoye Selo,0.0021655550330849775
Gavrilov-Yam,Yaroslavl,0.0040393690014072
Gay,Orsk,0.0025276469707899768
Abinsk,Gelendzhik,0.0027856020362862503
Georgiyevsk,Nezlobnaya,0.0008618114519439907
Giaginskaya,Maykop,0.002356789067182915
Golitsyno,Krasnoznamensk,0.000575930233255743
Gorelovo,Krasnoye Selo,0.0006940168501691166
Gorno-Altaysk,Mayma,0.0008484268848669809
Gornyak,Rubtsovsk,0.0060531980759928146
Gorodets,Novaya Balakhna,0.002113803103745822
Gorodishche,Penza,0.007199593141834248
Goryachevodskiy,Pyatigorsk,0.00035745040201625523
Goryachiy Klyuch,Pashkovskiy,0.003304340476523456
Groznyy,Urus-Martan,0.0025067658496101364
Gryazi,Lipetsk,0.0039790400143177905
Gryazovets,Vologda,0.005471790465912377
Gubakha,Kizel,0.002866837527226237
Chernyanka,Gubkin,0.004713489677968314
Gubkinskiy,Tarko-Sale,0.011650574563965795
Gudermes,Kurchaloy,0.0012202969480910534
Gukovo,Krasnyy Sulin,0.002090360456937424
Akademgorodok,Gul’kevichi,0.0
Gus’-Khrustal’nyy,Vladimir,0.006590240499708815
Balezino,Igra,0.005483733578217245
Ilanskiy,Kansk,0.003518459677469433
Inozemtsevo,Pyatigorsk,0.0005416314924846765
Barysh,Inza,0.008246248477897834
Ipatovo,Svetlograd,0.003507513635728817
Irbit,Turinsk,0.007439279683494712
Irkutsk,Shelekhov,0.002133283174520016
Isakogorka,Novodvinsk,0.0015869248488280892
Ishim,Zavodoukovsk,0.028916182753212945
Ishimbay,Salavat,0.0016222523468640796
Berdsk,Iskitim,0.0024168126294348185
Ivanovo,Kokhma,0.0014067316663862266
Ivanovskoye,Krasnogorsk,0.0003656437290025797
Ivanteyevka,Pushkino,0.0008908335985081627
Ivdel’,Krasnotur’insk,0.012372385801079326
Izberbash,Kaspiysk,0.004003235188065068
Izluchinsk,Nizhnevartovsk,0.0027309705105084433
Izmaylovo,Mtsensk,0.004225469940645699
Akademgorodok,Izobil’nyy,0.0
Kabanovo,Uglich,0.0016507347942282464
Kachkanar,Lesnoy,0.002990857611875699
Kalach-na-Donu,Surovikino,0.008036276677843323
Kalachinsk,Omsk,0.012161744030979759
Kaliningrad,Mikhalkovo,0.009184758456823485
Kalininsk,Zhirnovsk,0.0063696394888879465
Kalininskiy,Yablonovskiy,0.005884217505685878
Kaltan,Osinniki,0.0010753365793687343
Kaluga,Kondrovo,0.004806644265001006
Kamensk-Shakhtinskiy,Zverevo,0.003294727518923002
Bogdanovich,Kamensk-Ural’skiy,0.004556332595404925
Kamen’-na-Obi,Suzun,0.009913988717782344
Kamyshin,Kotovo,0.007209944509178136
Bogdanovich,Kamyshlov,0.006421974493040117
Kanash,Novocheboksarsk,0.0072229476533311205
Kandalaksha,Polyarnyye Zori,0.0032423861051764646
Bryukhovetskaya,Kanevskaya,0.002573813931663017
Kantyshevo,Nazran’,0.0014777057075151775
Karabash,Kyshtym,0.00420256751045787
Karabulak,Surkhakhi,0.0009914510138739005
Karachayevsk,Ust’-Dzheguta,0.002713231411817473
Bryansk,Karachev,0.006616911801623553
Karasuk,Slavgorod,0.010336603838835102
Karpinsk,Krasnotur’insk,0.0016901029508583352
Kartaly,Plast,0.015067983574012681
Kashin,Kimry,0.006433557433333874
Kashira,Luzhniki,0.00036721661657101567
Kasimov,Melenki,0.005314121653901757
Kasli,Ozersk,0.0016614985563675735
Kaspiysk,Makhachkala,0.00183374039866702
Katav-Ivanovsk,Ust’-Katav,0.002094961391922349
Kamensk-Ural’skiy,Kataysk,0.006621589921724553
Kavalerovo,Luchegorsk,0.021750788604963267
Kazan,Zelenodolsk,0.005994833335343157
Kedrovka,Kushva,0.003873132659916603
Khabarovsk,Khabarovsk Vtoroy,0.007592102533722399
Khanty-Mansiysk,Poykovskiy,0.024396970466596692
Astrakhan,Kharabali,0.013669765944349849
Khasavyurt,Kizilyurt,0.003536467867730972
Khimki,Krasnogorsk,0.0011989217213549735
Kholmsk,Lyublino,0.0012938574832303251
Khot'kovo,Sofrino,0.0015098776678609245
Donskoy,Kimovsk,0.0020111667472177187
Kinel’,Samara,0.005574022383834901
Kineshma,Sokol’niki,0.0003858434870097312
Kireyevsk,Uzlovaya,0.0024316665714498235
Kirov,Rublëvo,0.00254548320820397
Kirovgrad,Novoural’sk,0.002313760230061244
Kirovo-Chepetsk,Slobodskoy,0.002569125123165688
Kirsanov,Uvarovo,0.008805021221794732
Karabanovo,Kirzhach,0.0024511387837778285
Belovo,Kiselëvsk,0.005850507485865403
Kislovodsk,Yessentuki,0.002137145425062996
Khasavyurt,Kizlyar,0.005239663325357599
Klimovsk,Syktyvkar,0.02402529678092323
Klin,Solnechnogorsk,0.0029900815239586307
Kochubeyevskoye,Nevinnomyssk,0.0014597591781349965
Chunskiy,Kodinsk,0.03192943710386635
Kogalym,Pokachi,0.01157047519183513
Kolomna,Voskresensk,0.0027099159354454843
Kolpino,Metallostroy,0.0007950611214945566
Komendantsky aerodrom,Saint Petersburg,0.0008708881192730676
Kommunar,Pavlovsk,0.0009071858306516047
Dubna,Konakovo,0.0037894474057705344
Kondopoga,Petrozavodsk,0.005731659432364422
Konstantinovsk,Semikarakorsk,0.003406101755965187
Korenovsk,Vyselki,0.0027433363642772033
