node1,node2,dist,real_dist
Chaykovskiy,Votkinsk,0.003691099097747853,41459.0
Chebarkul’,Miass,0.0027437030553739672,22794.0
Cheboksary,Zavolzh’ye,0.0004384406019118968,326406.0
Chegem,Nal’chik,0.0005957505484988433,9119.0
Chekhov,Serpukhov,0.00281091024883144,
Chelyabinsk,Kopeysk,0.0022076916439187294,18713.0
Cheremkhovo,Usol’ye-Sibirskoye,0.007139197779699306,67246.0
Cherepanovo,Iskitim,0.00484215012389022,52923.0
Cherepovets,Veshnyaki,0.007145621035826282,492065.0
Cherkessk,Ust’-Dzheguta,0.001536385558979252,18111.0
Chernaya Rechka,Kolpashevo,0.01406781195268433,
Chernogolovka,Noginsk,0.001958367189179905,21538.0
Chernushka,Osa,0.011045138262344972,
Chernyakhovsk,Gusev,0.003882813806619776,
Chernyanka,Novyy Oskol,0.0019796752915392504,25685.0
Chishmy,Yubileyny,0.000837180291479711,2080883.0
Chistopol’,Kotlovka,0.00807403308144725,1832451.0
Chita,Nerchinsk,0.03315917021513912,268252.0
Chudovo,Kirishi,0.005210001587924051,56047.0
Chunskiy,Vikhorevka,0.014651352297875456,132671.0
Chusovoy,Lys’va,0.0024835431333867564,20927.0
Dagestanskiye Ogni,Derbent,0.0013084971997829814,10923.0
Akademgorodok,Dal'negorsk,0.0,5766681.0
Akademgorodok,Dal’nerechensk,0.0,5387515.0
Danilov,Tutayev,0.0071652681324775765,95137.0
Dankov,Lebedyan’,0.0025178838755474642,35835.0
Davlekanovo,Rayevskiy,0.0020675097161327984,22296.0
Dedovsk,Nakhabino,0.0006710150097672681,7389.0
Degtyarsk,Revda,0.0021077859677281967,22606.0
Desnogorsk,Roslavl’,0.004996484372874111,37977.0
Dinskaya,Pashkovskiy,0.002102258947428194,34715.0
Divnogorsk,Krasnoyarsk,0.004656948110339668,41631.0
Divnoye,Ipatovo,0.005528684556933125,43601.0
Dmitrov,Novogireyevo,0.002598640256312891,89161.0
Dobryanka,Perm,0.005979025324209651,
Akademgorodok,Dolgoprudnyy,0.0,3407515.0
Domodedovo,Vostryakovo,0.0009370997039215466,8797.0
Donetsk,Rybatskoye,0.010339745112830924,
Donskoy,Novomoskovsk,0.0006846329545270168,
Donskoye,Mikhaylovsk,0.0029314427434915954,2697575.0
Dubna,Kimry,0.0023550987750363397,24647.0
Dubovka,Volzhskiy,0.002798525150646921,45753.0
Dudinka,Norilsk,0.012446891239613449,88897.0
Dyat’kovo,Fokino,0.0017874899838480644,9570142.0
Dzerzhinsk,Novaya Balakhna,0.003489860592017327,42298.0
Dzerzhinskiy,Kotel’niki,0.0003689595382357193,
Ekazhevo,Nazran’,0.0007068605036515611,4463.0
